,시군구코드,시군구명,주요역,대분류,중분류,기준연도,문화시설별ID,대분류명,중분류명,시설명,시설위도,시설경도,주요역위도,주요역경도,시설_placeid
861,11140,중구,서울,시니어,온누리상품권,2020,SOT056538,가맹점,평화시장,삼주사,37.568832,127.0039598,37.55407301,126.9707021,ChIJd43T1eGifDUReqPwgMCFL2E
862,11140,중구,서울,시니어,온누리상품권,2020,SOT056539,가맹점,동평화상가,찬스,37.5694417,127.0132567,37.55407301,126.9707021,ChIJTcjMtCGjfDURRk-tjoN8gFM
863,11140,중구,서울,시니어,온누리상품권,2020,SOT056540,가맹점,삼익패션타운,나르샤,37.5601849,126.9789816,37.55407301,126.9707021,ChIJvRDRQvSifDURGShIbVZOBqs
864,11140,중구,서울,시니어,온누리상품권,2020,SOT056542,가맹점,신평화패션타운,보세의류,37.5694133,127.0109365,37.55407301,126.9707021,ChIJTcjMtCGjfDURRk-tjoN8gFM
865,11140,중구,서울,시니어,온누리상품권,2020,SOT056543,가맹점,신평화패션타운,흑장미,37.5694133,127.0109365,37.55407301,126.9707021,ChIJTcjMtCGjfDURRk-tjoN8gFM
866,11140,중구,서울,시니어,온누리상품권,2020,SOT056544,가맹점,신평화패션타운,에바다,37.5694133,127.0109365,37.55407301,126.9707021,ChIJTcjMtCGjfDURRk-tjoN8gFM
867,11140,중구,서울,시니어,온누리상품권,2020,SOT056545,가맹점,신평화패션타운,보그,37.5694367,127.0115814,37.55407301,126.9707021,ChIJTcjMtCGjfDURRk-tjoN8gFM
868,11140,중구,서울,시니어,온누리상품권,2020,SOT056546,가맹점,신평화패션타운,제나k,37.5694367,127.0115814,37.55407301,126.9707021,ChIJTcjMtCGjfDURRk-tjoN8gFM
869,11140,중구,서울,시니어,온누리상품권,2020,SOT056547,가맹점,신평화패션타운,애플,37.5694133,127.0109365,37.55407301,126.9707021,ChIJTcjMtCGjfDURRk-tjoN8gFM
870,11140,중구,서울,시니어,온누리상품권,2020,SOT056548,가맹점,신평화패션타운,샤리오,37.5694367,127.0115814,37.55407301,126.9707021,ChIJTcjMtCGjfDURRk-tjoN8gFM
871,11140,중구,서울,시니어,온누리상품권,2020,SOT056549,가맹점,신평화패션타운,색종이,37.5694367,127.0115814,37.55407301,126.9707021,ChIJTcjMtCGjfDURRk-tjoN8gFM
872,11140,중구,서울,시니어,온누리상품권,2020,SOT056550,가맹점,신평화패션타운,옹달샘,37.5694133,127.0109365,37.55407301,126.9707021,ChIJTcjMtCGjfDURRk-tjoN8gFM
873,11140,중구,서울,시니어,온누리상품권,2020,SOT056551,가맹점,신평화패션타운,비손,37.5694133,127.0109365,37.55407301,126.9707021,ChIJTcjMtCGjfDURRk-tjoN8gFM
874,11140,중구,서울,시니어,온누리상품권,2020,SOT056552,가맹점,신평화패션타운,우주,37.5694133,127.0109365,37.55407301,126.9707021,ChIJTcjMtCGjfDURRk-tjoN8gFM
875,11140,중구,서울,시니어,온누리상품권,2020,SOT056555,가맹점,동평화시장,새와,37.5694442,127.0103248,37.55407301,126.9707021,ChIJTcjMtCGjfDURRk-tjoN8gFM
876,11140,중구,서울,시니어,온누리상품권,2020,SOT056558,가맹점,삼익패션타운,텐텐,37.5601669,126.9789819,37.55407301,126.9707021,ChIJjX0mi1-ifDURKxToYZqA7kg
877,11140,중구,서울,시니어,온누리상품권,2020,SOT056566,가맹점,통일상가,부활사,37.5691483,127.0062082,37.55407301,126.9707021,ChIJaWpNyxijfDUR9BWlKZW_LUM
